Placed In,Class 10 Percentage,Class 12 Percentage,Degree Percentage,Degree CGPA,Live Backlogs,Education Gap,Year down,Internship Details
1,59,53,70,8,0,0,1,1
1,86,73,67,7,0,0,0,1
1,83,73,77,8,0,0,0,1
1,93,84,85,9,0,1,0,1
0,82,73,78,9,0,0,0,1
1,87,83,85,9,0,0,0,1
1,90,66,79,8,0,0,0,1
1,89,74,79,9,0,0,0,1
0,84,73,75,8,0,0,0,1
1,81,60,74,8,0,0,1,1
1,90,65,70,8,0,0,1,1
1,76,60,73,8,0,0,1,1
1,90,59,69,8,0,0,1,1
0,86,65,61,7,0,0,2,1
0,73,73,76,8,0,0,0,1
1,81,74,74,8,0,0,1,0
1,79,65,77,9,0,0,0,1
0,85,67,71,8,0,0,2,1
0,82,58,78,9,0,0,0,1
1,87,65,67,7,0,0,4,1
1,89,80,82,9,0,0,0,0
1,78,56,77,8,0,0,0,1
1,79,73,78,9,0,0,0,1
0,86,67,77,8,0,0,0,1
0,81,64,77,9,0,2,0,1
0,87,65,73,8,0,1,0,1
1,84,69,70,8,0,0,0,1
0,71,73,76,8,0,0,0,1
0,63,54,78,7,0,0,3,1
1,89,75,82,9,0,0,0,1
1,87,72,81,9,0,0,0,1
0,83,71,73,8,0,0,0,1
0,82,64,63,9,0,0,1,1
0,87,73,67,7,0,0,0,1
1,79,74,72,8,0,0,0,1
0,86,76,73,9,0,0,0,1
1,87,70,74,8,0,0,0,1
1,83,58,70,8,0,0,0,1
0,78,56,66,7,0,0,2,1
1,78,56,73,8,0,0,0,1
1,89,70,68,8,0,0,0,1
1,79,62,74,8,0,0,0,1
1,88,70,66,7,0,0,1,1
0,88,78,72,8,0,0,0,1
0,88,59,74,8,0,0,0,1
0,86,60,74,8,0,0,0,1
0,81,73,62,7,0,0,0,1
1,84,70,75,8,0,0,0,1
0,89,56,78,9,0,0,3,1
0,82,73,76,8,0,0,0,1
0,71,73,75,8,0,0,0,1
0,86,73,76,8,0,0,0,0
1,78,73,72,8,0,0,0,1
